region,2015,2016,2017,2018,2019,2020
서울,"144,830","150,310","161,654","173,635","180,311","190,617"
부산,"24,214","22,395","20,515","22,791","23,115","24,569"
대구,"16,923","16,665","16,898","18,960","19,739","20,496"
인천,"25,319","25,603","27,071","27,320","28,856","28,965"
광주,"13,225","13,198","11,885","14,197","14,148","15,165"
대전,"48,946","49,532","50,724","52,078","53,642","52,030"
울산,"9,796","10,105","10,635","11,286","10,445","10,283"
세종,"5,065","4,908","5,707","5,609","5,826","6,603"
경기,"202,267","205,137","211,620","225,982","239,971","250,652"
강원,"10,346","9,980","10,977","11,106","11,755","12,195"
충북,"16,910","17,348","19,367","20,219","19,070","20,431"
충남,"24,353","23,922","23,468","24,100","24,968","25,542"
전북,"15,165","14,482","14,823","15,380","15,583","16,438"
전남,"7,069","6,981","7,186","8,627","8,739","9,133"
경북,"25,341","24,660","26,378","25,774","26,642","26,027"
경남,"27,718","26,369","28,114","30,735","32,574","34,302"
제주,"2,420","3,315","3,221","3,261","3,375","3,840"
